Zone,Eruption,N_samples,Volume(km3),Longitude,Latitude,num_min_age(wrt2000AD),num_max_age(wrt2000AD),MgO,La,Frac(Volume(km3)),Frac(La),Type,Period_minAgeSorted,Period_maxAgeSorted
REYK,Lagafell,13,0.28,-22.52772727,63.88036364,14000,16300,18.84722222,0.36,0.227799145,0.508851899,Postglacial,Postglacial,Postglacial
REYK,Haleyjabunga,18,0.013,-22.65538889,63.81861111,14000,16300,16.93733333,0.583722222,0.011531333,0.919852,Postglacial,Postglacial,Postglacial
REYK,Sandfellshaed,9,4.8,-22.48444444,63.90333333,13500,13700,9.127142857,2.7,7.611692308,1.675225469,Postglacial,Postglacial,Postglacial
REYK,Vatnsheidi,13,0.14,-22.39936364,63.84572727,13000,16300,14.65188889,1.049111111,0.136489829,1.076701312,Postglacial,Postglacial,Postglacial
REYK,Thrainsskjoldur,6,5.2,-22.25,63.92,13000,15000,9.825,,6.064,,Postglacial,Postglacial,Postglacial
REYK,Heidin_ha,7,9.8,-21.70285714,63.93142857,10300,12000,8.02,5.445,22.83902564,2.510821668,Postglacial,Postglacial,Postglacial
REYK,Skalafell,3,0.15,-21.85666667,64.1,8000,9000,7.86,2,0.368346154,0.89732528,Postglacial,Postglacial,Postglacial
REYK,Hrolfsvik,2,0.001,-21.69,63.97,7000,16300,10.84,2.8,0.001121538,2.505161734,Postglacial,Postglacial,Postglacial
REYK,Fagradalshraun,2,0.01,-22.2925,63.911,7000,14500,21.781,0.38,0.007007308,0.555252847,Postglacial,Postglacial,Postglacial
REYK,Hrutagjardyngja,3,3.2,-22,64,6500,7500,8.33,,6.681846154,,Postglacial,Postglacial,Postglacial
REYK,Leitahraun,9,6.3,-21.52444444,64.02222222,5100,5300,8.59125,,11.86772596,,Postglacial,Postglacial,Postglacial
REYK,Stora-Eldborg,1,0.08,-22,63.85,5000,6000,11.35,4.3,0.088153846,3.902268761,Postglacial,Postglacial,Postglacial
REYK,Thrihnukahraun_eldra,1,0.24,-21.82,64.01,4500,7000,,,,,Postglacial,Postglacial,Postglacial
REYK,Strompahraun,2,0.36,-21.675,64.01,4500,6000,8.9,4.6,0.591230769,2.800936768,Postglacial,Postglacial,Postglacial
REYK,Holmshraun,1,0.16,-21.7,64.081,2400,14500,7.775,7.07,0.403538462,2.80320244,Postglacial,Postglacial,Postglacial
REYK,Afstaparhraun,2,0.4,-22.15,63.978,1950,2050,7.614,6.155,1.059210256,2.324728087,Postglacial,Postglacial,Postglacial
REYK,Eldborgarhraun,3,0.04,-21.844,63.932,1900,2400,8.797,6.436666667,0.082110598,3.54815524,Postglacial,Postglacial,Postglacial
REYK,Breiddalshraun,2,0.1,-21.83,63.93,1000,1100,8.055,7.68,0.230314103,3.336226672,Postglacial,Postglacial,Postglacial
REYK,Tvibollahraun,3,0.04,-21.87,64.01333333,1000,1100,8.023333333,7.196666667,0.093116239,3.122729915,Postglacial,Postglacial,Postglacial
REYK,Husfellsbruni,3,0.3,-21.68666667,64.01333333,900,1100,8.276666667,7.873333333,0.638935897,3.693664713,Postglacial,Postglacial,Postglacial
REYK,Svinahraunsbruni,7,0.1,-21.48571429,64.04257143,900,1100,8.986428571,8.2425,0.157471612,5.915460915,Postglacial,Postglacial,Postglacial
REYK,Ogmundarhraun,3,0.3,-22.18666667,63.85766667,830,860,7.661333333,6.403333333,0.783302564,2.453340278,Postglacial,Postglacial,Postglacial
REYK,Kapelluhraun,3,0.1,-21.98333333,64.02766667,800,850,7.681333333,6.44,0.259536752,2.480771295,Postglacial,Postglacial,Postglacial
REYK,Mavahlidarhraun,1,0.1,-22.52,63.97,800,850,7.65,6.89,0.261987179,2.629899682,Postglacial,Postglacial,Postglacial
REYK,Arnarseturhraun,14,0.48,-22.43153846,63.89784615,760,790,7.121714286,8.543076923,1.455848791,2.878523425,Postglacial,Postglacial,Postglacial
REYK,Stamparhraun_yngra,3,0.01,-22.71,63.83,750,800,7.468333333,5.836666667,0.027619444,2.111704133,Postglacial,Postglacial,Postglacial
WVZN,Hrutfell,4,11.5,-19.73095,64.722125,14500,70000,7.7675,6.845,29.07177885,3.123304534,Glacial,Glacial,Glacial
WVZN,Hvalfell,3,2.9,-21.22293333,64.3883,14500,70000,8.333333333,9.3,6.047863248,5.017638514,Glacial,Glacial,Glacial
WVZN,Fanntofell,2,0.7,-20.9403,64.5407,14500,30000,9.315,12.46,1.336237179,11.20581114,Glacial,Glacial,Glacial
WVZN,Litla-Bjornsfell,2,0.4,-20.7782,64.4927,14500,30000,9.52,6.92,0.516512821,4.861826698,Glacial,Glacial,Glacial
WVZN,Geitlandsjokull,3,5.2,-20.6458,64.5866,12000,14500,7.393333333,6.305,14.66711111,2.657629589,Glacial,Glacial,Glacial
WVZN,Skrida,4,3.4,-20.68015,64.36245,12000,14500,8.9875,4.766666667,5.395429487,2.898049899,Glacial,Glacial,Glacial
WVZN,Stora-Bjornsfell,5,2.6,-20.7334,64.4894,12000,14500,8.784,5.485,4.505866667,3.151437764,Glacial,Glacial,Glacial
WVZN,Thorisjokull,4,10.7,-20.8072,64.535125,11300,11900,9.1175,1.413333333,16.2499391,0.925145907,Glacial,Glacial,Glacial
WVZN,Eiriksjokull,4,48.2,-20.502625,64.7522,10300,12000,7.5,2.45,131.9320513,0.855382868,Glacial,Glacial,Glacial
WVZN,Jokullstallar,9,8.1,-20.06222222,64.91888889,10300,12000,8.996666667,3.65,13.0785,2.285348361,Finiglacial,Glacial,Glacial
WVZN,Leggjabrjotur,11,6.3,-19.79,64.73181818,10300,12000,8.653636364,2.96,11.72218531,1.607150781,Finiglacial,Glacial,Glacial
WVZN,N_Langjokull,3,5.3,-19.89666667,64.95,10300,12000,9.4,2.315,6.920803419,1.790186743,Finiglacial,Glacial,Glacial
WVZN,Hagafell_shield,3,4.5,-20.34333333,64.56333333,10300,12000,8.66,,8.235,,Finiglacial,Glacial,Glacial
WVZN,Kjalfell,3,0.8,-19.51903333,64.77473333,10300,12000,9.226666667,4.435,1.109470085,3.104551962,Glacial,Glacial,Glacial
WVZN,Krakur,4,0.8,-19.871925,64.965225,10300,12000,9.115,4.41,1.331025641,2.369334619,Glacial,Glacial,Glacial
WVZN,Jarlhettur,1,0.1,-20.25,64.46,10200,30000,11.91,5.9,0.108038462,5.461018156,Glacial,Glacial,Glacial
WVZN,Hlodufell,7,3.9,-20.54878571,64.42044286,10200,11200,9.256666667,5.136666667,7.5405,2.21724012,Glacial,Glacial,Glacial
WVZN,Thverfell,1,1.6,-21.1,64.47,10000,30000,11.98,3.3,1.724307692,3.062098501,Glacial,Transitional,Glacial
WVZN,Sandkulufell,2,0.21,-19.645,64.99,10000,30000,9.585,5.715,0.367459615,3.974429595,Glacial,Transitional,Glacial
WVZN,Hognhofdi,3,3.8,-20.5425,64.3472,9900,10500,9.213333333,9.22,6.618820513,4.399070223,Glacial,Transitional,Transitional
WVZN,Skjaldbreidur_II,29,10.8,-20.77448276,64.44893103,8900,10262.06897,8.013103448,5.722857143,25.2277878,2.42842104,Postglacial,Transitional,Transitional
WVZN,Skjaldbreidur_I,14,2.7,-20.92142857,64.39835714,8900,9500,9.306357143,4.825,4.38500522,3.009005633,Postglacial,Transitional,Transitional
WVZN,Geitlandshraun_II,5,1.5,-20.738,64.724,8800,9000,9.552,,1.915,,Postglacial,Transitional,Transitional
